Domain, Ia, Ea
9.4594,0.001628754,0.00787541
9.45945,0.001623994,0.007912274
9.4595,0.001619218,0.007949059
9.45955,0.001614426,0.007985766
9.4596,0.001609618,0.008022394
9.45965,0.001604794,0.008058943
9.4597,0.001599954,0.008095413
9.45975,0.001595098,0.008131802
9.4598,0.001590227,0.008168112
9.45985,0.00158534,0.00820434
9.4599,0.001580437,0.008240488
9.45995,0.001575519,0.008276554
9.46,0.001570585,0.008312539
9.46005,0.001565636,0.008348441
9.4601,0.001560671,0.008384262
9.46015,0.001555691,0.008419999
9.4602,0.001550696,0.008455653
9.46025,0.001545685,0.008491224
9.4603,0.001540659,0.008526711
9.46035,0.001535617,0.008562114
9.4604,0.001530561,0.008597433
9.46045,0.001525489,0.008632666
9.4605,0.001520403,0.008667815
9.46055,0.001515301,0.008702878
9.4606,0.001510185,0.008737854
9.46065,0.001505053,0.008772745
9.4607,0.001499907,0.008807549
9.46075,0.001494746,0.008842266
9.4608,0.00148957,0.008876896
9.46085,0.001484379,0.008911439
9.4609,0.001479174,0.008945893
9.46095,0.001473954,0.008980259
9.461,0.00146872,0.009014537
9.46105,0.001463471,0.009048725
9.4611,0.001458208,0.009082824
9.46115,0.00145293,0.009116834
9.4612,0.001447638,0.009150753
9.46125,0.001442332,0.009184582
9.4613,0.001437011,0.009218321
9.46135,0.001431676,0.009251969
9.4614,0.001426327,0.009285525
9.46145,0.001420964,0.009318989
9.4615,0.001415588,0.009352362
9.46155,0.001410197,0.009385642
9.4616,0.001404792,0.00941883
9.46165,0.001399373,0.009451925
9.4617,0.00139394,0.009484926
9.46175,0.001388494,0.009517834
9.4618,0.001383034,0.009550648
9.46185,0.00137756,0.009583368
9.4619,0.001372073,0.009615993
9.46195,0.001366572,0.009648523
9.462,0.001361058,0.009680958
9.46205,0.00135553,0.009713297
9.4621,0.001349989,0.009745541
9.46215,0.001344435,0.009777688
9.4622,0.001338867,0.009809739
9.46225,0.001333286,0.009841693
9.4623,0.001327692,0.00987355
9.46235,0.001322085,0.009905309
9.4624,0.001316465,0.009936971
9.46245,0.001310832,0.009968535
9.4625,0.001305186,0.01
9.46255,0.001299527,0.010031367
9.4626,0.001293855,0.010062634
9.46265,0.00128817,0.010093802
9.4627,0.001282473,0.010124871
9.46275,0.001276763,0.010155839
9.4628,0.00127104,0.010186708
9.46285,0.001265305,0.010217476
9.4629,0.001259557,0.010248143
9.46295,0.001253797,0.010278709
9.463,0.001248025,0.010309173
9.46305,0.00124224,0.010339536
9.4631,0.001236443,0.010369797
9.46315,0.001230634,0.010399955
9.4632,0.001224813,0.010430011
9.46325,0.001218979,0.010459963
9.4633,0.001213134,0.010489813
9.46335,0.001207276,0.010519559
9.4634,0.001201407,0.010549201
9.46345,0.001195526,0.010578739
9.4635,0.001189633,0.010608172
9.46355,0.001183728,0.010637501
9.4636,0.001177811,0.010666725
9.46365,0.001171883,0.010695844
9.4637,0.001165944,0.010724857
9.46375,0.001159993,0.010753764
9.4638,0.00115403,0.010782565
9.46385,0.001148056,0.01081126
9.4639,0.001142071,0.010839848
9.46395,0.001136074,0.010868329
9.464,0.001130066,0.010896703
9.46405,0.001124047,0.010924969
9.4641,0.001118017,0.010953127
9.46415,0.001111976,0.010981178
9.4642,0.001105924,0.011009119
