Domain, Ia, Ea
0.02865,0.000464248,-0.006434057
0.0287,0.000466649,-0.006506789
0.02875,0.000468967,-0.006578706
0.0288,0.000471203,-0.006649794
0.02885,0.000473356,-0.006720036
0.0289,0.000475423,-0.006789419
0.02895,0.000477406,-0.006857928
0.029,0.000479302,-0.006925548
0.02905,0.000481111,-0.006992265
0.0291,0.000482832,-0.007058064
0.02915,0.000484465,-0.007122932
0.0292,0.000486007,-0.007186854
0.02925,0.000487459,-0.007249816
0.0293,0.00048882,-0.007311805
0.02935,0.000490088,-0.007372806
0.0294,0.000491264,-0.007432806
0.02945,0.000492346,-0.007491792
0.0295,0.000493333,-0.00754975
0.02955,0.000494226,-0.007606668
0.0296,0.000495023,-0.007662531
0.02965,0.000495723,-0.007717328
0.0297,0.000496326,-0.007771045
0.02975,0.000496832,-0.00782367
0.0298,0.000497239,-0.00787519
0.02985,0.000497547,-0.007925594
0.0299,0.000497755,-0.007974868
0.02995,0.000497863,-0.008023002
0.03,0.000497871,-0.008069982
0.03005,0.000497777,-0.008115798
0.0301,0.000497582,-0.008160438
0.03015,0.000497284,-0.008203891
0.0302,0.000496883,-0.008246145
0.03025,0.00049638,-0.00828719
0.0303,0.000495773,-0.008327014
0.03035,0.000495062,-0.008365608
0.0304,0.000494246,-0.00840296
0.03045,0.000493326,-0.008439061
0.0305,0.0004923,-0.0084739
0.03055,0.000491169,-0.008507468
0.0306,0.000489933,-0.008539754
0.03065,0.00048859,-0.00857075
0.0307,0.000487141,-0.008600445
0.03075,0.000485586,-0.008628832
0.0308,0.000483924,-0.0086559
0.03085,0.000482155,-0.008681642
0.0309,0.000480278,-0.008706048
0.03095,0.000478295,-0.008729111
0.031,0.000476204,-0.008750822
0.03105,0.000474006,-0.008771174
0.0311,0.0004717,-0.008790158
0.03115,0.000469287,-0.008807768
0.0312,0.000466766,-0.008823996
0.03125,0.000464138,-0.008838835
0.0313,0.000461401,-0.008852278
0.03135,0.000458558,-0.008864319
0.0314,0.000455606,-0.008874951
0.03145,0.000452548,-0.008884168
0.0315,0.000449382,-0.008891964
0.03155,0.000446108,-0.008898334
0.0316,0.000442728,-0.008903273
0.03165,0.000439241,-0.008906773
0.0317,0.000435647,-0.008908832
0.03175,0.000431947,-0.008909444
0.0318,0.000428141,-0.008908605
0.03185,0.000424228,-0.008906309
0.0319,0.000420211,-0.008902554
0.03195,0.000416087,-0.008897335
0.032,0.000411859,-0.008890649
0.03205,0.000407527,-0.008882493
0.0321,0.00040309,-0.008872863
0.03215,0.00039855,-0.008861756
0.0322,0.000393906,-0.00884917
0.03225,0.00038916,-0.008835103
0.0323,0.000384311,-0.008819553
0.03235,0.000379361,-0.008802516
0.0324,0.000374309,-0.008783993
0.03245,0.000369157,-0.008763982
0.0325,0.000363904,-0.008742481
0.03255,0.000358552,-0.008719489
0.0326,0.000353102,-0.008695007
0.03265,0.000347553,-0.008669033
0.0327,0.000341907,-0.008641568
0.03275,0.000336164,-0.008612611
0.0328,0.000330325,-0.008582164
0.03285,0.00032439,-0.008550227
0.0329,0.000318362,-0.0085168
0.03295,0.000312239,-0.008481885
0.033,0.000306024,-0.008445483
0.03305,0.000299717,-0.008407597
0.0331,0.000293319,-0.008368227
0.03315,0.000286831,-0.008327377
0.0332,0.000280254,-0.008285048
0.03325,0.000273588,-0.008241244
0.0333,0.000266835,-0.008195967
0.03335,0.000259995,-0.008149221
0.0334,0.000253071,-0.008101009
0.03345,0.000246062,-0.008051334
0.0335,0.000238969,-0.008000202
0.03355,0.000231795,-0.007947616
0.0336,0.00022454,-0.007893581
0.03365,0.000217205,-0.007838101
0.0337,0.000209791,-0.007781182
0.03375,0.0002023,-0.007722829
0.0338,0.000194732,-0.007663047
0.03385,0.000187089,-0.007601843
0.0339,0.000179373,-0.007539223
0.03395,0.000171583,-0.007475192
0.034,0.000163723,-0.007409758
0.03405,0.000155792,-0.007342927
0.0341,0.000147792,-0.007274707
