Domain, Ia, Ea
0.01165,0.000145529,-0.003276338
0.0117,0.000147098,-0.003292551
0.01175,0.000148674,-0.003308652
0.0118,0.000150258,-0.00332464
0.01185,0.000151849,-0.003340511
0.0119,0.000153447,-0.003356266
0.01195,0.000155051,-0.003371901
0.012,0.000156663,-0.003387415
0.01205,0.000158282,-0.003402807
0.0121,0.000159908,-0.003418074
0.01215,0.00016154,-0.003433216
0.0122,0.00016318,-0.003448229
0.01225,0.000164825,-0.003463114
0.0123,0.000166478,-0.003477867
0.01235,0.000168137,-0.003492487
0.0124,0.000169802,-0.003506973
0.01245,0.000171474,-0.003521322
0.0125,0.000173152,-0.003535534
0.01255,0.000174836,-0.003549606
0.0126,0.000176527,-0.003563537
0.01265,0.000178223,-0.003577325
0.0127,0.000179926,-0.003590968
0.01275,0.000181634,-0.003604465
0.0128,0.000183349,-0.003617814
0.01285,0.000185069,-0.003631014
0.0129,0.000186794,-0.003644063
0.01295,0.000188526,-0.003656958
0.013,0.000190263,-0.0036697
0.01305,0.000192005,-0.003682285
0.0131,0.000193753,-0.003694713
0.01315,0.000195506,-0.003706981
0.0132,0.000197265,-0.003719089
0.01325,0.000199028,-0.003731034
0.0133,0.000200797,-0.003742815
0.01335,0.00020257,-0.00375443
0.0134,0.000204348,-0.003765879
0.01345,0.000206132,-0.003777158
0.0135,0.000207919,-0.003788268
0.01355,0.000209712,-0.003799205
0.0136,0.000211509,-0.003809969
0.01365,0.00021331,-0.003820558
0.0137,0.000215116,-0.003830971
0.01375,0.000216926,-0.003841206
0.0138,0.00021874,-0.003851262
0.01385,0.000220559,-0.003861136
0.0139,0.000222381,-0.003870828
0.01395,0.000224207,-0.003880336
0.014,0.000226037,-0.003889659
0.01405,0.000227871,-0.003898795
0.0141,0.000229708,-0.003907743
0.01415,0.000231549,-0.0039165
0.0142,0.000233393,-0.003925067
0.01425,0.00023524,-0.003933441
0.0143,0.000237091,-0.003941621
0.01435,0.000238945,-0.003949605
0.0144,0.000240802,-0.003957393
0.01445,0.000242661,-0.003964982
0.0145,0.000244524,-0.003972372
0.01455,0.000246389,-0.003979561
0.0146,0.000248257,-0.003986547
0.01465,0.000250127,-0.00399333
0.0147,0.000252,-0.003999907
0.01475,0.000253875,-0.004006278
0.0148,0.000255752,-0.004012441
0.01485,0.000257632,-0.004018396
0.0149,0.000259513,-0.00402414
0.01495,0.000261396,-0.004029672
0.015,0.000263281,-0.004034991
0.01505,0.000265168,-0.004040096
0.0151,0.000267056,-0.004044986
0.01515,0.000268946,-0.004049659
0.0152,0.000270837,-0.004054114
0.01525,0.000272729,-0.004058349
0.0153,0.000274623,-0.004062365
0.01535,0.000276517,-0.004066158
0.0154,0.000278412,-0.004069729
0.01545,0.000280308,-0.004073076
0.0155,0.000282205,-0.004076198
0.01555,0.000284102,-0.004079093
0.0156,0.000286,-0.004081761
0.01565,0.000287898,-0.0040842
0.0157,0.000289796,-0.00408641
0.01575,0.000291694,-0.004088388
0.0158,0.000293593,-0.004090135
0.01585,0.000295491,-0.004091648
0.0159,0.000297389,-0.004092928
0.01595,0.000299286,-0.004093972
0.016,0.000301184,-0.00409478
0.01605,0.00030308,-0.00409535
0.0161,0.000304976,-0.004095683
0.01615,0.000306871,-0.004095775
0.0162,0.000308765,-0.004095628
0.01625,0.000310658,-0.004095239
0.0163,0.000312549,-0.004094608
0.01635,0.00031444,-0.004093733
0.0164,0.000316328,-0.004092614
0.01645,0.000318216,-0.00409125
0.0165,0.000320101,-0.00408964
0.01655,0.000321985,-0.004087782
0.0166,0.000323867,-0.004085677
0.01665,0.000325747,-0.004083323
0.0167,0.000327625,-0.004080719
0.01675,0.0003295,-0.004077865
0.0168,0.000331373,-0.004074759
0.01685,0.000333243,-0.004071401
0.0169,0.000335111,-0.004067789
0.01695,0.000336976,-0.004063924
0.017,0.000338838,-0.004059804
0.01705,0.000340697,-0.004055429
0.0171,0.000342553,-0.004050797
0.01715,0.000344405,-0.004045908
0.0172,0.000346254,-0.004040762
0.01725,0.0003481,-0.004035357
0.0173,0.000349941,-0.004029692
0.01735,0.000351779,-0.004023768
0.0174,0.000353613,-0.004017584
0.01745,0.000355443,-0.004011138
0.0175,0.000357269,-0.00400443
0.01755,0.00035909,-0.003997459
0.0176,0.000360907,-0.003990226
0.01765,0.00036272,-0.003982729
0.0177,0.000364527,-0.003974967
0.01775,0.00036633,-0.00396694
0.0178,0.000368128,-0.003958648
0.01785,0.000369921,-0.00395009
0.0179,0.000371708,-0.003941265
0.01795,0.00037349,-0.003932173
0.018,0.000375267,-0.003922813
0.01805,0.000377038,-0.003913185
0.0181,0.000378803,-0.003903289
0.01815,0.000380562,-0.003893123
0.0182,0.000382315,-0.003882688
0.01825,0.000384062,-0.003871983
0.0183,0.000385803,-0.003861008
0.01835,0.000387538,-0.003849761
0.0184,0.000389265,-0.003838244
0.01845,0.000390986,-0.003826455
0.0185,0.000392701,-0.003814394
0.01855,0.000394408,-0.003802061
0.0186,0.000396108,-0.003789455
0.01865,0.000397801,-0.003776577
0.0187,0.000399487,-0.003763425
0.01875,0.000401165,-0.00375
0.0188,0.000402836,-0.003736301
0.01885,0.000404499,-0.003722328
0.0189,0.000406154,-0.003708081
0.01895,0.000407801,-0.00369356
0.019,0.000409439,-0.003678764
0.01905,0.00041107,-0.003663693
0.0191,0.000412692,-0.003648348
0.01915,0.000414305,-0.003632727
0.0192,0.00041591,-0.003616831
0.01925,0.000417506,-0.003600659
0.0193,0.000419093,-0.003584213
0.01935,0.000420671,-0.00356749
0.0194,0.00042224,-0.003550492
0.01945,0.0004238,-0.003533219
0.0195,0.00042535,-0.003515669
0.01955,0.00042689,-0.003497844
0.0196,0.00042842,-0.003479743
0.01965,0.000429941,-0.003461367
