Domain, Ia, Ea
0.014,-2.56E-05,-0.002710668
0.01405,-2.28E-05,-0.002792289
0.0141,-1.99E-05,-0.002872652
0.01415,-1.69E-05,-0.002951693
0.0142,-1.39E-05,-0.00302935
0.01425,-1.09E-05,-0.00310556
0.0143,-7.83E-06,-0.003180262
0.01435,-4.73E-06,-0.003253394
0.0144,-1.59E-06,-0.003324897
0.01445,1.59E-06,-0.00339471
0.0145,4.79E-06,-0.003462774
0.01455,8.03E-06,-0.003529032
0.0146,1.13E-05,-0.003593427
0.01465,1.46E-05,-0.003655902
0.0147,1.79E-05,-0.003716403
0.01475,2.13E-05,-0.003774875
0.0148,2.46E-05,-0.003831266
0.01485,2.80E-05,-0.003885522
0.0149,3.14E-05,-0.003937595
0.01495,3.48E-05,-0.003987434
0.015,3.83E-05,-0.004034991
0.01505,4.17E-05,-0.004080219
0.0151,4.52E-05,-0.004123073
0.01515,4.86E-05,-0.004163507
0.0152,5.21E-05,-0.00420148
0.01525,5.56E-05,-0.00423695
0.0153,5.90E-05,-0.004269877
0.01535,6.25E-05,-0.004300223
0.0154,6.60E-05,-0.00432795
0.01545,6.94E-05,-0.004353024
0.0155,7.29E-05,-0.004375411
0.01555,7.63E-05,-0.004395079
0.0156,7.98E-05,-0.004411998
0.01565,8.32E-05,-0.004426139
0.0157,8.66E-05,-0.004437475
0.01575,9.00E-05,-0.004445982
0.0158,9.34E-05,-0.004451636
0.01585,9.67E-05,-0.004454416
0.0159,0.000100023,-0.004454302
0.01595,0.000103315,-0.004451277
0.016,0.000106576,-0.004445325
0.01605,0.000109806,-0.004436431
0.0161,0.000113002,-0.004424585
0.01615,0.000116161,-0.004409776
0.0162,0.000119281,-0.004391997
0.01625,0.00012236,-0.00437124
0.0163,0.000125396,-0.004347503
0.01635,0.000128386,-0.004320784
0.0164,0.000131329,-0.004291082
0.01645,0.000134222,-0.0042584
0.0165,0.000137063,-0.004222742
0.01655,0.00013985,-0.004184114
0.0166,0.00014258,-0.004142524
0.01665,0.000145251,-0.004097983
0.0167,0.000147862,-0.004050504
0.01675,0.000150411,-0.004000101
0.0168,0.000152894,-0.00394679
0.01685,0.000155311,-0.003890591
0.0169,0.000157659,-0.003831524
0.01695,0.000159936,-0.003769611
0.017,0.00016214,-0.003704879
0.01705,0.00016427,-0.003637353
0.0171,0.000166323,-0.003567064
0.01715,0.000168297,-0.003494041
0.0172,0.000170192,-0.003418318
0.01725,0.000172004,-0.003339931
0.0173,0.000173733,-0.003258915
0.01735,0.000175376,-0.003175311
0.0174,0.000176932,-0.00308916
0.01745,0.0001784,-0.003000504
0.0175,0.000179777,-0.002909389
0.01755,0.000181062,-0.00281586
0.0176,0.000182254,-0.002719968
0.01765,0.000183352,-0.002621763
0.0177,0.000184354,-0.002521297
0.01775,0.000185258,-0.002418624
0.0178,0.000186063,-0.002313801
0.01785,0.000186769,-0.002206885
