Freq_Hz,Re_Ydd,Im_Ydd,Mag_Ydd,Phase_Ydd_deg,Re_Yqd,Im_Yqd,Mag_Yqd,Phase_Yqd_deg,Re_Ydq,Im_Ydq,Mag_Ydq,Phase_Ydq_deg,Re_Yqq,Im_Yqq,Mag_Yqq,Phase_Yqq_deg,CondNum
2.4,-0.000536253552011902,0.000592532809378199,0.000799163939523677,132.14569905108,0.00386984334304125,0.000575137339209724,0.00391234845823246,8.45343940512593,0.00065697585679657,-0.00379602181226826,0.00385245361758321,-80.1811084961547,0.00125701786580815,-0.000774054188723281,0.00147622958988124,-31.6241860736372,2.71634147244251
2.5,-0.000498593130256771,0.00063207868683775,0.000805058119575089,128.266905397861,0.00387669090577989,0.000604097994328338,0.00392347636232309,8.85706953347404,0.000680792953659521,-0.00410249620505739,0.00415860002383768,-80.5778560527122,0.00130069529284065,-0.000832776040797851,0.00154444947439039,-32.6295873212423,2.61046743847972
2.6,-0.00045577582390771,0.000672131233142783,0.000812091125567069,124.141407962442,0.00388414132675481,0.000633745693181256,0.00393550345570048,9.26685684581544,0.000695206624047637,-0.00443289814574292,0.00448708125852995,-81.0869646043394,0.00134695169311342,-0.000896981593618052,0.00161828762674337,-33.6610151067225,2.50031237850864
2.7,-0.000406746370922978,0.000711713169004733,0.000819742792096261,119.74810561887,0.00389240270444023,0.000664012638337123,0.00394863414327094,9.68100669045528,0.000696947110570881,-0.00478866490605123,0.00483911633021771,-81.7192560128399,0.00139558635037835,-0.00096744012170222,0.0016981170897325,-34.7302451831879,2.3877999453078
2.8,-0.000350146985629465,0.000749209359577199,0.00082699309309297,115.049286043485,0.0039017905758867,0.000694736437169452,0.00396315889351022,10.0960386457519,0.000681975500077145,-0.00517061719747956,0.00521539766322539,-82.486376059314,0.00144623452448767,-0.00104495529278227,0.00178424377923359,-35.8494348038567,2.27512328385598
2.9,-0.000284232772479456,0.000781992508621866,0.000832046003831566,109.974813905858,0.00391278013860945,0.000725592079050825,0.00397948894687219,10.5056788837874,0.0006454208472078,-0.00557842448309393,0.00561563778956516,-83.400252239712,0.00149830459664121,-0.00113029993990357,0.00187683100423618,-37.0303891434564,2.1647289337037
3,-0.000206773985614052,0.000805801811731811,0.000831908673423344,104.391944581697,0.00392608564397599,0.000755976049739109,0.00399820563148189,10.8990307589958,0.000581655094357321,-0.00600975216452708,0.0060378343574356,-84.4718348014664,0.00155090512540974,-0.00122408928277174,0.00197577865162544,-38.2831186882805,2.05933478134518
3.1,-0.000114984342711602,0.000813773389555588,0.000821856756751205,98.0425231749489,0.00394278114938326,0.000784814490038418,0.00402013146249053,11.2576399799615,0.000484672937632692,-0.00645891585673602,0.00647707510384661,-85.7086039057211,0.00160277315806764,-0.00132654739350826,0.00208053113013136,-39.6131160839753,1.96199578782015
3.2,-5.49590610934348e-06,0.00079487450900124,0.00079489350861856,90.3961470689297,0.00396448719182567,0.000810237443679002,0.00404643588967986,11.550692179338,0.00034911805813935,-0.00691483603060368,0.00692364360352654,-87.1096898268926,0.00165223610917002,-0.00143709888869418,0.00218978021187774,-41.0164285734513,1.87624000169966
3.3,0.00012558010395686,0.000731390896341255,0.000742093663738399,80.2572925591011,0.00399367192647711,0.000829018651747391,0.00407880955442596,11.7270836097041,0.000172518264900108,-0.00735800924089462,0.00736003142254263,-88.6568707024165,0.001697276490736,-0.00155367744913425,0.00230101305992674,-42.470811816883,1.80632620910647
3.4,0.000282571823349469,0.000594918384026019,0.000658615759759189,64.5934141543893,0.00403418272173584,0.000835631475036483,0.00411981919438506,11.7026201246315,-4.03498222439622e-05,-0.00775616681571986,0.00775627177073039,-90.2980665215051,0.00173583578262058,-0.00167159572979723,0.00240984608390294,-43.919934882495,1.75779909921271
3.5,0.000470634483451811,0.000339829106046357,0.00058050033447899,35.8317657647961,0.00409232142531515,0.000820620415969778,0.00417378874827175,11.3389560314041,-0.000269825260421986,-0.00805806351205306,0.00806257981265567,-91.9178397331344,0.001766535610284,-0.00178175163149173,0.00250904103966533,-45.2456983870895,1.73898225923809
3.6,0.000698795750027471,-0.00010775275354852,0.000707054563774073,-8.76584211453085,0.00417943606865126,0.000767747804026102,0.00424936731085111,10.4089881484417,-0.00046945055822416,-0.00818383319898981,0.00819728672522224,-93.2830692816848,0.00178997258445075,-0.00186780736413262,0.00258702651756671,-46.2190267070737,1.7656608193975
3.7,0.000993285537032215,-0.000869397114447463,0.0013200255681944,-41.1948190222618,0.00431936765402497,0.00064881978275977,0.00436782600856967,8.54263076178446,-0.000551490571081991,-0.00800613663742617,0.00802510845454003,-93.9405081945771,0.00181015482167742,-0.00190158795878466,0.00262539468336417,-46.4111089921417,1.87674345975633
3.8,0.00144737376025202,-0.00214830831459313,0.00259038981939322,-56.0307788031468,0.00457442929318263,0.000414405320540062,0.00459316177899486,5.17639222100579,-0.000383281746769792,-0.00730273177419852,0.0073127830723532,-93.0043956158658,0.00183369720861681,-0.00183515557040076,0.00259427088417189,-45.022774958783,2.19294996954652
