Freq_Hz,Cycles_in_Window,Re_Ydd,Im_Ydd,Mag_Ydd,Phase_Ydd_deg,Re_Yqd,Im_Yqd,Mag_Yqd,Phase_Yqd_deg,Re_Ydq,Im_Ydq,Mag_Ydq,Phase_Ydq_deg,Re_Yqq,Im_Yqq,Mag_Yqq,Phase_Yqq_deg,CondNum
0.75,15,-3.63224727265043,-0.467929975191385,3.66226415095349,-172.659212726557,11.1425570464654,-0.602977954850615,11.1588601545038,-3.09753202809346,-1.6661997323395,-4.55425785331754,4.84948307993261,-110.095318123297,5.14526369322967,-4.3444441375685,6.73408741681609,-40.1763398274566,2.52463051784044
0.8,16,-3.69913595250945,-0.586799531888058,3.74538923020986,-170.986190749178,11.1662403110364,-0.67542162588322,11.1866490539627,-3.46147978575607,-1.89791431245056,-4.84791722049262,5.20618671526037,-111.379879100149,5.01859436710785,-4.75366851006759,6.91257214972653,-43.4470928911804,2.50277027104125
0.85,17,-3.75514060514812,-0.722058771152366,3.82393120145097,-169.115703803414,11.1846143562332,-0.740848410585085,11.2091237242313,-3.78963184275947,-2.14082195516807,-5.13600423213478,5.56432009469585,-112.627660804494,4.86400356533435,-5.1506570805719,7.08433476377498,-46.6395516527864,2.4801579837909
0.9,18,-3.79454097814378,-0.866295456118894,3.89217279319721,-167.139753739994,11.1956231434703,-0.799218591549002,11.2241136811636,-4.08322989923148,-2.39147322404444,-5.41530581524639,5.91985483385892,-113.826909901385,4.68290422302151,-5.5328103671757,7.24855727170032,-49.7558247587154,2.45702667268095
0.95,19,-3.81457652566204,-1.0108408366785,3.94623786247469,-165.158080899279,11.1975891281109,-0.851281174312083,11.2299012426523,-4.34746946663512,-2.64719588002044,-5.68224164830363,6.26861357693339,-114.979481852611,4.47686123688153,-5.89823799344037,7.40482936748416,-52.800894129272,2.43352448466629
1,20,-3.81578660670099,-1.14691634128385,3.98442524359318,-163.270724628555,11.1893571531548,-0.898449763849824,11.2253697257159,-4.59071731928657,-2.90628226698027,-5.93318260461657,6.60674900651513,-116.097243844411,4.24759588659538,-6.24567337162359,7.55317858128814,-55.7809231523049,2.40972444846383
1.05,21,-3.80178556780786,-1.26676898437667,4.0072780242168,-161.571736589003,11.1704581899129,-0.942529404933357,11.2101515534696,-4.82302007705066,-3.16802134956613,-6.16479887826639,6.93116905585063,-117.19812577066,3.99700638333296,-6.57436151124108,7.69404245562062,-58.7017057215306,2.3856481566408
1.1,22,-3.77863641248444,-1.3647635302913,4.01754559792001,-160.141352594329,11.1412020266369,-0.985514764388163,11.1847048217271,-5.05504252457418,-3.43259866788386,-6.37441039024871,7.23987855133419,-118.302315493556,3.72717527725397,-6.88395936148178,7.82820107290978,-61.567600412048,2.36129714869937
1.15,23,-3.7539469410265,-1.43804757320659,4.01996249470658,-159.039354892014,11.1025963450003,-1.02930960326785,11.150207346027,-5.29668896921482,-3.70088780650154,-6.56022994057055,7.53214361450113,-119.429081451881,3.44033910578461,-7.17441027875765,7.95663848686958,-64.3809225981544,2.33667466390059
1.2,24,-3.73568518572355,-1.48683814226514,4.02070037034953,-158.296975210617,11.0562901537974,-1.07547019356042,11.1084737071388,-5.55581042480072,-3.97412440640977,-6.72150634838947,7.80847695706799,-120.593915553857,3.13887485745829,-7.44582323258817,8.08039720445311,-67.1415688826585,2.31181483254038
