Domain, Ia
0.01985,0.003492122
0.0199,0.00350969
0.01995,0.003527303
0.02,0.003544959
0.02005,0.003562659
0.0201,0.003580403
0.02015,0.00359819
0.0202,0.003616021
0.02025,0.003633896
0.0203,0.003651815
0.02035,0.003669777
0.0204,0.003687783
0.02045,0.003705833
0.0205,0.003723926
0.02055,0.003742063
0.0206,0.003760244
0.02065,0.003778468
0.0207,0.003796736
0.02075,0.003815048
0.0208,0.003833404
0.02085,0.003851803
0.0209,0.003870246
0.02095,0.003888732
0.021,0.003907262
0.02105,0.003925836
0.0211,0.003944453
0.02115,0.003963114
0.0212,0.003981819
0.02125,0.004000568
0.0213,0.00401936
0.02135,0.004038195
0.0214,0.004057075
0.02145,0.004075997
0.0215,0.004094964
0.02155,0.004113974
0.0216,0.004133028
0.02165,0.004152125
0.0217,0.004171266
0.02175,0.004190451
0.0218,0.004209679
0.02185,0.004228951
0.0219,0.004248266
0.02195,0.004267625
0.022,0.004287028
0.02205,0.004306474
0.0221,0.004325964
0.02215,0.004345497
0.0222,0.004365074
0.02225,0.004384694
0.0223,0.004404358
0.02235,0.004424066
0.0224,0.004443817
0.02245,0.004463612
0.0225,0.00448345
0.02255,0.004503331
0.0226,0.004523257
0.02265,0.004543226
0.0227,0.004563238
0.02275,0.004583294
0.0228,0.004603393
0.02285,0.004623536
0.0229,0.004643723
0.02295,0.004663953
0.023,0.004684226
0.02305,0.004704543
0.0231,0.004724903
0.02315,0.004745307
0.0232,0.004765755
0.02325,0.004786246
0.0233,0.00480678
0.02335,0.004827358
0.0234,0.00484798
0.02345,0.004868644
0.0235,0.004889353
0.02355,0.004910104
0.0236,0.0049309
0.02365,0.004951738
0.0237,0.004972621
0.02375,0.004993546
0.0238,0.005014515
0.02385,0.005035528
0.0239,0.005056583
0.02395,0.005077683
0.024,0.005098826
0.02405,0.005120012
0.0241,0.005141241
0.02415,0.005162514
0.0242,0.005183831
0.02425,0.005205191
0.0243,0.005226594
0.02435,0.00524804
0.0244,0.00526953
0.02445,0.005291064
0.0245,0.005312641
0.02455,0.005334261
0.0246,0.005355924
0.02465,0.005377631
0.0247,0.005399381
0.02475,0.005421175
0.0248,0.005443012
0.02485,0.005464892
0.0249,0.005486816
0.02495,0.005508783
0.025,0.005530794
0.02505,0.005552847
0.0251,0.005574944
0.02515,0.005597085
0.0252,0.005619268
0.02525,0.005641495
0.0253,0.005663766
0.02535,0.005686079
0.0254,0.005708436
0.02545,0.005730837
0.0255,0.00575328
