f,dd,dq,qd,qq
93.0,2.166287392256701-6.595874856389029j,-0.25007424427330527-0.01533285670431267j,0.5079419943910584+0.19928279249232356j,2.0507720014066217-6.520052022343586j
95.0,2.0835205227027744-6.407503880239561j,-0.26756976143123645+0.011595144791578138j,0.18902485244641964+0.013002552931726452j,2.0709768318025725-6.586930030164062j
97.0,1.9840199117844821-6.300174702961893j,-0.24552079317501363+0.005593403253771473j,0.17110513619993503+0.05437564061531717j,1.9082497713625974-6.449247958777637j
98.0,1.9319130836258533-6.2355870714212855j,-0.23245122135525106-0.004432962999563889j,0.1455018421468692+0.01515143126102377j,1.868716922350444-6.279308497546566j
100.0,1.8040699696203761-6.03646668122483j,-0.2757601122772335-0.009127210558701138j,0.49394346505940256+0.22692643868286813j,1.8330089446729732-6.168545307692053j
102.0,1.7154638378014921-6.014006951854829j,-0.18667486110366216-0.00785188272569734j,0.22030019218288446+0.06114135810850508j,1.5098266431071519-6.032621343510322j
104.0,1.645980595268716-5.865807645706005j,-0.22499764809835537+0.006823223084519686j,0.14778334840083227-0.14519972749233043j,1.722558693112446-5.927518108919813j
105.0,1.5868260231928286-5.825908509272274j,-0.20050006084465355-0.00027489847480341445j,0.23671401162342715-0.02034561453233615j,1.4995077624108069-5.880278503897468j
107.0,1.4846540085073874-5.723181959481405j,-0.19125634762949423-0.053293430496885424j,0.3651533692721203+0.007547931720802482j,1.4238984197972684-5.472017346154709j
109.0,1.4423010470952284-5.605729631957371j,-0.18760077366586403-0.015958219539955548j,0.22227894796657544-0.01660776402806235j,1.426155319647605-5.5399852887665695j
111.0,1.3850515906643748-5.482950160777038j,-0.19899070926256548+0.005381098317264826j,0.2077782948866277-0.005174036596417163j,1.362620137883927-5.517785916913839j
113.0,1.330848946448158-5.383490825056422j,-0.20196578533812093+0.0017057833454565685j,0.14441313820870458-0.030666877900522593j,1.3759506323958677-5.434453184528642j
115.0,1.2375030905578055-5.326143457694419j,-0.16863805729793765-0.012596377845867202j,0.26945460785777126+0.17468817189304173j,1.1616678857039506-5.2896704913979935j
117.0,1.2018506687378856-5.234293697817165j,-0.15048303627666781-0.010423798088389336j,0.16131986506975418+0.18510972587654537j,1.0384239122511572-5.238336308066226j
119.0,1.1561112880548008-5.112946206543131j,-0.1471884461228603+0.009488857405574813j,0.19975338493722714+0.11025758132466809j,1.0432079349033359-5.164554619411655j
121.0,1.0847091999302503-5.0206861228899315j,-0.14903260909743296-0.030895396392700836j,0.26054814877897187+0.01857263776655385j,0.9986494720951282-4.905868613436417j
123.0,1.061900703314884-4.921713214407072j,-0.15298706600591905-0.018259221807689102j,0.13039166281645614-0.03292574175428978j,1.0895864723282371-4.914914285875209j
125.0,1.0262274349802822-4.841550976726707j,-0.14709412531393032-0.0026293827793903712j,0.07121588692968708+0.03655047933790337j,1.0051737773642868-4.91545427416682j
127.0,0.9944831757104283-4.745996237726443j,-0.13479540928381542-0.0031227173214422865j,0.11994021665987921-0.039697472834122324j,0.8835226881276697-4.7658481590146415j
130.0,0.9197505821815738-4.643626086217508j,-0.1438335367056228-0.006825776270227513j,0.14455587415337484-0.0031186988025022374j,0.971506757252059-4.680218881370395j
132.0,0.8570266727635009-4.554314001455595j,-0.15301581857731836-0.011086058846878188j,0.2525012841393767+0.04469776051416359j,0.9683829288886692-4.5559859794367235j
134.0,0.8528004978735552-4.487921813334098j,-0.12699247373831593-0.027299764523161116j,0.1808591946220498-0.0030013672207794035j,0.8100781616737915-4.418538960144772j
137.0,0.8179629105578022-4.378308212490209j,-0.1345323446788558+0.007098389783972925j,0.14371043609026524+0.0487714929546776j,0.807871165391334-4.415174106635378j
139.0,0.8035800044675849-4.316020857811857j,-0.12092307536540728+0.0010261615883931374j,0.07547537884671726+0.026730845124865125j,0.7672851093189843-4.375930823809229j
141.0,0.7627462626566056-4.234926381471299j,-0.11009346968432872-0.00870471165465779j,0.11373945301204047+0.02459644094896207j,0.6890800652928175-4.241196867517311j
144.0,0.7028242523685089-4.146552397791792j,-0.12110037794475742-0.03125041923550147j,0.24679650905496492+0.06677384827834355j,0.7229960643183766-4.018711853414585j
146.0,0.6837669978271008-4.085765411838261j,-0.10884794666328149-0.02058537390946953j,0.19687645953277175+0.05930655142488081j,0.6277781073554398-4.06083481478973j
149.0,0.6476050199446834-4.001037625760882j,-0.10314547598766613-0.00705138742529611j,0.17744243363812698+0.11249464348779785j,0.6038526318544779-4.037558424194375j
152.0,0.6327993852723419-3.8906405141160283j,-0.10251049002047746-0.009703587670091524j,0.12947227803976238-0.008070178808579995j,0.6081903937707658-3.919079590613899j
154.0,0.6079006547536059-3.84775667490148j,-0.09846527563200859-0.008103601249150078j,0.18209098101661522+0.0360079929658854j,0.568242035041981-3.853598982828139j
157.0,0.6079535886591008-3.7545955998331304j,-0.10860965787809344-0.005057503516449138j,0.03156095203999254+0.02419204149136772j,0.601314456480404-3.7543447750747j
160.0,0.5565566542244257-3.671581667171785j,-0.10366515479175532-0.02080694574655896j,0.16754437265039807+0.01653943418844041j,0.5748468441210246-3.6042848617077743j
162.0,0.5421147883054884-3.635423307311377j,-0.10384043819627481-0.02334512191513992j,0.19332529268432097+0.04318015223377155j,0.5679653951535779-3.5621546000462345j
165.0,0.5259134860267453-3.547368472179186j,-0.08652482410124002-0.009880121801966082j,0.2055835637017414-0.020276233333594167j,0.5452682089448673-3.5873918682531927j
168.0,0.500725631161513-3.47660259293746j,-0.10100022386575713-0.008288785318025321j,0.11680492509213386-0.012010906930691893j,0.5317346138446908-3.5484853996274035j
171.0,0.4795656998788349-3.390249709935711j,-0.09900197051811774-0.02937487652282275j,0.15580747422604532-0.07470916038773893j,0.5541463838181344-3.3441826478496353j
174.0,0.477168472143684-3.3429830920373993j,-0.07822865356589777-0.0030499239902493647j,0.0840352619239804+0.047225082051151945j,0.3899841769751631-3.3842736844204557j
177.0,0.4504956176015834-3.2769954229230023j,-0.0660579288312615-0.016135077117735208j,0.1502197326029264+0.02233985200162158j,0.37924187677869403-3.2580961876474843j
180.0,0.42811839535455176-3.21452895839486j,-0.07862970721306868-0.01988005703510895j,0.2027135987507644+0.0175570416779973j,0.40787841567433425-3.150343521234347j
183.0,0.42972667633704703-3.139461395102403j,-0.09473866369002515-0.013488080631860036j,0.06748065391029297-0.06412273540080395j,0.41423754158492576-3.135122798627437j
186.0,0.4105287118854376-3.0826602675502586j,-0.0691468049499267-0.02888584574384772j,0.09986301758384009-0.06804186718536048j,0.37573395606514115-3.033596581885562j
190.0,0.4158032322100469-3.024580512559507j,-0.07408922543895921-0.0024068209358559106j,0.00884256775391786+0.05679680124644985j,0.3705642636018207-3.1212853135236447j
193.0,0.3862877294923941-2.9657664419846155j,-0.06623603700192288-0.03568644665323206j,0.05439414680005409+0.005003163874876989j,0.38541616498755715-2.8940550367758577j
196.0,0.3813314009815604-2.9237903314938043j,-0.08072906093501239-0.0009199369150506009j,0.09201753430086301+0.0801942889503157j,0.37293668516626566-2.9405965909624188j
200.0,0.31527721927746083-2.833256000604636j,-0.06906000940151383-0.03443726397970086j,0.31278053724087457+0.021691076011917623j,0.3263332269740036-2.764388491913223j
203.0,0.34509254484050805-2.7864317481719936j,-0.07793189646516921-0.02490751900849912j,0.08332209938630773-0.012748018074676603j,0.29257536765259307-2.7458754282409688j
207.0,0.32024102946761124-2.7327414321500885j,-0.08245037643927754-0.015543041887533776j,0.18558333298736368+0.006392365994885607j,0.3236138935361841-2.706910149158691j
211.0,0.33633982629391745-2.6865024533305504j,-0.0672416466506772-0.015718017211412055j,0.03859832815915998+0.06584791872846897j,0.3152320438906857-2.6638667102047835j
214.0,0.3255344287812173-2.6252651769789557j,-0.08351917517101053-0.002625199842508974j,0.060249332705152425+0.020763470653396243j,0.3374965987084959-2.6607597087427437j
218.0,0.3088899571916366-2.5881533080481334j,-0.07129454784790341-0.011698748505299936j,0.055678048769432484+0.07559695869604409j,0.33690250500347396-2.5879610980571757j
222.0,0.3118420607680105-2.5203360770310197j,-0.06913343302912307-0.010780641235300273j,0.08346325811846371+0.04759034860444205j,0.25760217782577133-2.4792064109744905j
226.0,0.2924015546931259-2.4588207003436757j,-0.07249904121138437-0.024972829027272346j,0.09840390616207344-0.026575995304270936j,0.3045286582863631-2.399746391827075j
